factor,symbol,quantile,horizon,n,mean,median,win_rate,max_adverse_excursion,max_favorable_excursion,tail_loss_p05,evidence_type
momentum20,HC,1,1,240,-0.0007845406072539206,0.00010771219302030399,0.5,-0.0007845406072539206,-0.0007845406072539206,-0.02868465704054356,local_evidence
momentum20,HC,1,5,240,-0.0014695160889562084,0.002301067112842281,0.5416666666666666,-0.017373544816537047,0.014353236285501494,-0.06050171087472532,local_evidence
momentum20,HC,1,10,240,-0.00244792911086746,-0.0014889087143063473,0.4791666666666667,-0.028440539578191423,0.02382557098676765,-0.0843562767036208,local_evidence
momentum20,HC,1,20,240,0.004978760306923497,0.010123192030560557,0.575,-0.0421132723218326,0.03955100995680489,-0.09481002997748486,local_evidence
momentum20,HC,1,40,240,0.019604982798333937,0.021179758532423487,0.6208333333333333,-0.056435483759314946,0.06437041305835986,-0.13156141641291436,local_evidence
momentum20,HC,2,1,491,5.749128684418263e-05,-0.0004364906154518122,0.47657841140529533,5.749128684418263e-05,5.749128684418263e-05,-0.014014860805702856,local_evidence
momentum20,HC,2,5,491,0.00010759687139766711,-0.0004555808656035998,0.4908350305498982,-0.009865176173119413,0.009579250979307284,-0.0356255241890398,local_evidence
momentum20,HC,2,10,491,-0.0001299659716571524,-0.0018341145302629425,0.45824847250509165,-0.017184933042457894,0.016185314922758955,-0.04989790798240612,local_evidence
momentum20,HC,2,20,487,-0.0027340858958759483,-0.0030002307869836375,0.4722792607802875,-0.029189718173642295,0.025308735381471742,-0.08538465500522908,local_evidence
momentum20,HC,2,40,474,-0.003565769985241748,-0.004857738721902594,0.4578059071729958,-0.05011334457948829,0.04131407984778508,-0.14090584840570314,local_evidence
momentum20,HC,3,1,409,0.0003765684990016305,0.00038365624400538145,0.5232273838630807,0.0003765684990016305,0.0003765684990016305,-0.013815726263685544,local_evidence
momentum20,HC,3,5,409,0.0006934778750182592,-0.00016792611251048584,0.4963325183374083,-0.008539797567005977,0.00932635533165847,-0.02620104507470471,local_evidence
momentum20,HC,3,10,408,0.0008587138775531024,-0.0006818210344785025,0.49019607843137253,-0.014680484229701949,0.016005476458078094,-0.03969314752547995,local_evidence
momentum20,HC,3,20,402,-0.0006099149953929566,-0.00434926574096306,0.44776119402985076,-0.022603335626869475,0.02385823877316532,-0.06005757919552377,local_evidence
momentum20,HC,3,40,395,-0.0015669974540985694,-0.004711425206124886,0.43544303797468353,-0.036210212555069156,0.036887476443041176,-0.08595548241006606,local_evidence
momentum20,HC,4,1,244,0.0012646015556127294,0.0007953512128756612,0.5532786885245902,0.0012646015556127294,0.0012646015556127294,-0.014407153205264716,local_evidence
momentum20,HC,4,5,241,0.004431682960954384,0.0038158229458153947,0.5643153526970954,-0.006875497621363409,0.01294371177025336,-0.027434842249657088,local_evidence
momentum20,HC,4,10,237,0.008072780730442503,0.005738332058148332,0.5991561181434599,-0.011949411368432195,0.02281119037806278,-0.03570779470612806,local_evidence
momentum20,HC,4,20,237,0.01639871673833722,0.01290917473490083,0.5822784810126582,-0.01875970847941501,0.03758145095378768,-0.04501069297175042,local_evidence
momentum20,HC,4,40,237,0.022070849160503534,0.015891563449404122,0.6244725738396625,-0.028128888630157944,0.06566512375255547,-0.0901995917668396,local_evidence
momentum20,HC,5,1,195,0.0001394050418535168,0.0010078613182826768,0.517948717948718,0.0001394050418535168,0.0001394050418535168,-0.02482374989760734,local_evidence
momentum20,HC,5,5,194,0.0032951547603433068,0.005763834025806047,0.5773195876288659,-0.012838768855488838,0.017464378008128494,-0.05676579764638946,local_evidence
momentum20,HC,5,10,194,0.008817025991201119,0.007418293328986469,0.5979381443298969,-0.021613776145849594,0.03300309483827461,-0.06008822742999857,local_evidence
