condition,symbol,horizon,n,mean,median,win_rate,tail_loss_p05,evidence_type
HIGH_PRICE_CVAR_HIGH,HC,1,26,-0.0052856224282219096,-0.002680017850329619,0.38461538461538464,-0.041342586799511555,local_evidence
HIGH_PRICE_CVAR_HIGH,HC,5,26,-0.006446926180125012,-0.004726515742909165,0.4230769230769231,-0.05919855438699986,local_evidence
HIGH_PRICE_CVAR_HIGH,HC,10,26,-0.013375894708103088,-0.013961795655715481,0.2692307692307692,-0.05986414287376418,local_evidence
HIGH_PRICE_CVAR_HIGH,HC,20,26,-0.035816294792853906,-0.029509686386934242,0.038461538461538464,-0.09736996648830168,local_evidence
HIGH_PRICE_CVAR_HIGH,HC,40,26,-0.02606148390410928,-0.02578232592203411,0.15384615384615385,-0.06429963537040165,local_evidence
HIGH_PRICE_CVAR_HIGH,I,1,37,-0.0068778230870772256,-0.004011231448054597,0.43243243243243246,-0.0402766751715121,local_evidence
HIGH_PRICE_CVAR_HIGH,I,5,37,-0.02894381503602715,-0.015963511972634015,0.32432432432432434,-0.09378018091545944,local_evidence
HIGH_PRICE_CVAR_HIGH,I,10,37,-0.022092772604658282,-0.0158311345646438,0.3783783783783784,-0.11039757788224044,local_evidence
HIGH_PRICE_CVAR_HIGH,I,20,37,-0.011682455392494556,0.006787330316742057,0.5135135135135135,-0.1784581353844607,local_evidence
HIGH_PRICE_CVAR_HIGH,I,40,37,-0.09176809768810443,-0.07674262734584447,0.2702702702702703,-0.25115221454220227,local_evidence
HIGH_PRICE_CVAR_HIGH,J,1,98,0.0013760111743880404,0.0016276578427999455,0.5102040816326531,-0.05800077377528721,local_evidence
HIGH_PRICE_CVAR_HIGH,J,5,98,0.005212967427992003,0.007321486927100884,0.5612244897959183,-0.1277633025955826,local_evidence
HIGH_PRICE_CVAR_HIGH,J,10,98,0.005196781664812923,0.01577838280075272,0.5612244897959183,-0.18259290204563813,local_evidence
HIGH_PRICE_CVAR_HIGH,J,20,98,0.013028455645759334,0.04210120174912202,0.5714285714285714,-0.2178204484256281,local_evidence
HIGH_PRICE_CVAR_HIGH,J,40,98,-0.0019333768474571569,-0.04733629323255867,0.30612244897959184,-0.20549234990705514,local_evidence
HIGH_PRICE_CVAR_HIGH,JM,1,152,0.0019114905315815956,-0.0011301427566330347,0.46710526315789475,-0.042675834214903355,local_evidence
HIGH_PRICE_CVAR_HIGH,JM,5,152,0.007855052043800702,0.010774318837935337,0.5592105263157895,-0.11171642355038111,local_evidence
HIGH_PRICE_CVAR_HIGH,JM,10,152,0.009449352117748744,0.01316971281490631,0.5460526315789473,-0.1720617475226752,local_evidence
