trade_date,symbol,open,high,low,close,settlement,volume,turnover,open_interest,open_interest_change,source,source_tier,is_simulated,lineage_status,main_contract,contract,roll_flag,previous_contract,next_contract,adjustment_method,adjustment_value,adjusted_close,true_contract_return,analysis_return,cleaning_flags,research_eligible,near_contract,near_price,far_contract,far_price,spread,roll_yield_user,roll_yield_research,return,atr14,rv5,rv10,rv20,rv60,skew20,kurtosis20,skew60,kurtosis60,skew120,kurtosis120,skew250,kurtosis250,var95,cvar95,var99,cvar99,var99_sample_status,drawdown,max_drawdown_250,drawdown_duration,amihud,amihud_status,vol_cone_p10_20,vol_cone_p50_20,vol_cone_p90_20,vol_cone_p10_60,vol_cone_p50_60,vol_cone_p90_60,vol_cone_p10_120,vol_cone_p50_120,vol_cone_p90_120,vol_cone_p10_250,vol_cone_p50_250,vol_cone_p90_250,oi_level,oi_change,oi_change_pct,oi_percentile_250,price_oi_quadrant,volume_oi,top20_long,top20_short,top20_net,top20_net_ratio,basis,basis_momentum_20,basis_status,crowding_percentile,positioning_status,ma5,ma_slope_5,momentum5,ma10,ma_slope_10,momentum10,ma20,ma_slope_20,momentum20,ma60,ma_slope_60,momentum60,momentum_acceleration,price_pct_20,price_pct_60,price_pct_120,price_pct_250,hurst_rs_120,hurst_algorithm,fractal_katz_120,fractal_algorithm,rv_term_structure,group,relative_strength,breadth,black_breadth,new_energy_breadth,market_state,previous_state,state_change,future_return_1d,mae_1d,mfe_1d,future_return_5d,mae_5d,mfe_5d,future_return_10d,mae_10d,mfe_10d,future_return_20d,mae_20d,mfe_20d,future_return_40d,mae_40d,mfe_40d,future_max_20,future_min_20,event_type,event_id,cohort,threshold
2021-04-26,HC,5590.0,5795.0,5578.0,5737.0,5704.0,1128876,,748793,36514.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6180.0,0.026296958855098307,0.02436598707110882,none,True,HC2105,5766.0,HC2110,5737.0,29.0,-0.005029483177245924,0.005029483177245924,0.02436598707110882,117.07142857142857,0.1108468587888359,0.16625087014764134,0.18341895928761817,0.20508387072933687,0.045692802432582794,-0.45861716968052063,-0.5355187965759007,-0.05741648228084024,-0.5261259799593649,0.7110352128599087,-0.3145432436617309,1.0959505778317324,-0.015213980799440282,-0.023286999412753192,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17639130646061327,0.2352392098583015,0.2111071497702452,0.22583555371423336,0.2465374561094633,0.12266280979870042,0.206566471120665,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.23354446719334998,748793,36514.0,0.05126362001406748,1.0,PRICE_UP_OI_UP,1.5075942216340164,,,,,,,missing_spot_benchmark,,missing_holdings,6001.4,0.005442968643023427,0.06313435403406165,5921.9,0.0029194579128617006,0.08269096005606169,5861.7,0.004430959169260573,0.11431662459430214,5376.633333333333,0.0038933377154450445,0.31126670910248255,0.03455519788548611,1.0,1.0,1.0,1.0,1.0541722222026055,R/S,1.0000179151232045,Katz,0.540495253939926,black,0.6,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.0024271844660195274,0.0024271844660195274,0.0024271844660195274,0.03203883495145621,-0.007928802588996753,0.03203883495145621,0.11343042071197407,-0.007928802588996753,0.15307443365695783,-0.0891585760517799,-0.11650485436893199,0.15307443365695783,-0.0726537216828479,-0.11650485436893199,0.15307443365695783,0.15307443365695783,-0.11650485436893199,TOP,HC_2021-04-26_TOP,TOP10,-0.1
2021-04-27,HC,5757.0,5772.0,5728.0,5752.0,5747.0,597341,,748798,5.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6195.0,0.002614606937423769,0.0024271844660195274,none,True,HC2105,5795.0,HC2110,5752.0,43.0,-0.007420189818809319,0.007420189818809319,0.0024271844660195274,107.14285714285714,0.13199527239448752,0.14102606239971857,0.1703433337202882,0.20427226500403364,0.09822684791186434,-0.04370773788976553,-0.5031220904441814,-0.04474443609236054,-0.5205533175760028,0.7078773367964404,-0.30808932153596025,1.1117525930218235,-0.015213980799440282,-0.023286999412753192,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17461702684162525,0.23226276159726086,0.2110775695859202,0.22583555371423336,0.2465374561094633,0.12304595169905352,0.206566471120665,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.2312449531759132,748798,5.0,6.677412849764863e-06,1.0,PRICE_UP_OI_UP,0.7977331670223479,,,,,,,missing_spot_benchmark,,missing_holdings,6066.0,0.007469731171762773,0.055006811989100735,5956.8,0.00427283014985771,0.05969893944577498,5887.55,0.004576213765125914,0.09105318774216276,5400.266666666666,0.004132856206844382,0.29683902030563125,0.032243515053560046,1.0,1.0,1.0,1.0,1.046398119230925,R/S,1.00001791547629,Katz,0.6461732452610789,black,0.6,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,-0.00984665052461664,-0.00984665052461664,-0.00984665052461664,0.039870863599677175,-0.010330912025827255,0.039870863599677175,0.061824051654560064,-0.010330912025827255,0.15028248587570614,-0.06844229217110576,-0.11864406779661019,0.15028248587570614,-0.06892655367231637,-0.11864406779661019,0.15028248587570614,0.15028248587570614,-0.11864406779661019,TOP,HC_2021-04-27_TOP,TOP10,-0.1
2021-04-28,HC,5751.0,5758.0,5635.0,5691.0,5683.0,856419,,729809,-18989.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6134.0,-0.010605006954102936,-0.00984665052461664,none,True,HC2105,5746.0,HC2110,5691.0,55.0,-0.009571876087713193,0.009571876087713193,-0.00984665052461664,107.5,0.19870587044717514,0.16141283474829565,0.17704377268774768,0.20620591275767053,0.2294121672764871,-0.31281175403130185,-0.4709526757153971,-0.16046609539912443,-0.4985931208462812,0.6360890404495037,-0.300330895914605,1.073025893553132,-0.015213980799440282,-0.023286999412753192,,,insufficient_sample,-0.00984665052461664,-0.08646719736480923,1,,missing_turnover,0.16886653641519317,0.17461702684162525,0.21135002239060327,0.2103601199875474,0.22583555371423336,0.2465374561094633,0.12307504150349245,0.20712749213483184,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.2308969230133216,729809,-18989.0,-0.025359309186189116,0.992,PRICE_DOWN_OI_DOWN,1.1734837471173964,,,,,,,missing_spot_benchmark,,missing_holdings,6107.4,0.00841523341523338,0.03492491985827573,5984.1,0.005036747700056532,0.0465790820679064,5908.1,0.004494440358239959,0.0718154813908789,5422.85,0.004219703246215278,0.2835321196903118,0.016971049510556002,0.9,0.9666666666666667,0.9833333333333333,0.992,1.0440735275233848,R/S,1.0000180327437733,Katz,0.9636283838315087,black,0.4,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.015650472774698443,0.015650472774698443,0.015650472774698443,0.10498858819693502,-0.0004890772742093263,0.10498858819693502,0.042060645582002065,-0.0004890772742093263,0.16172155200521687,-0.05493968046951414,-0.10987936093902839,0.16172155200521687,-0.06129768503423538,-0.10987936093902839,0.16172155200521687,0.16172155200521687,-0.10987936093902839,TOP,HC_2021-04-28_TOP,TOP10,-0.1
2021-04-29,HC,5650.0,5801.0,5643.0,5787.0,5748.0,1004581,,773311,43502.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6230.0,0.016868740115972614,0.015650472774698443,none,True,HC2105,5805.0,HC2110,5787.0,18.0,-0.0031007751937984496,0.0031007751937984496,0.015650472774698443,112.71428571428571,0.2067449866398936,0.16171454788879147,0.1820240218193025,0.205150930042865,0.08048380601773325,-0.614939803116897,-0.47955192562735505,-0.133190635487688,-0.5230885240163081,0.6292306761577873,-0.3129154890748812,1.0574597403297827,-0.015213980799440282,-0.023286999412753192,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17461702684162525,0.20630344974334858,0.20610041448619,0.22583555371423336,0.2465374561094633,0.12363334180574942,0.20712749213483184,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22993717076862388,773311,43502.0,0.05960737672459504,1.0,PRICE_UP_OI_UP,1.2990646712642133,,,,,,,missing_spot_benchmark,,missing_holdings,6154.4,0.008885721073889252,0.039199332777314355,6023.5,0.005843656557026922,0.06751199451679235,5932.9,0.004498138701227061,0.08650156958493205,5445.483333333334,0.004282869460014593,0.27873563218390807,0.017573940381081343,1.0,1.0,1.0,1.0,1.029983364258914,R/S,1.00001815639672,Katz,1.0077701651008628,black,0.4,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,-0.015890850722311445,-0.015890850722311445,-0.015890850722311445,0.12086677367576248,-0.015890850722311445,0.12086677367576248,0.030979133226324285,-0.015890850722311445,0.14382022471910116,-0.0561797752808989,-0.1235955056179775,0.14382022471910116,-0.057624398073836236,-0.1235955056179775,0.14382022471910116,0.14382022471910116,-0.1235955056179775,TOP,HC_2021-04-29_TOP,TOP10,-0.1
2021-04-30,HC,5789.0,5799.0,5662.0,5688.0,5729.0,802857,,723595,-49716.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6131.0,-0.017107309486780742,-0.015890850722311445,none,True,HC2105,5758.0,HC2110,5688.0,70.0,-0.012156998957971519,0.012156998957971519,-0.015890850722311445,109.0,0.2677792888056986,0.1974568714008638,0.1908792655660852,0.20318683260341988,0.1837737898445856,-0.6146023150271385,-0.4583259597030021,-0.13416235254865572,-0.4941790892673025,0.5120147533686964,-0.31660101365045235,1.0292381107412718,-0.015737710560928188,-0.02331317721811785,,,insufficient_sample,-0.015890850722311445,-0.08646719736480923,1,,missing_turnover,0.16886653641519317,0.17461702684162525,0.1994786994155339,0.20514422411151217,0.22583555371423336,0.2465374561094633,0.126143643016217,0.20712749213483184,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22942051556005694,723595,-49716.0,-0.06428978767921312,0.984,PRICE_DOWN_OI_DOWN,1.1095391759202315,,,,,,,missing_spot_benchmark,,missing_holdings,6174.0,0.008299595141700422,0.016243991380739287,6051.0,0.006002008613205767,0.0469603825136613,5948.55,0.004066895368782175,0.0537985562048815,5468.1,0.004331565622752098,0.28424801005446176,0.002794352329518912,0.8,0.9333333333333333,0.9666666666666667,0.984,1.0170343183208905,R/S,1.0000184852168577,Katz,1.3178968606117814,black,0.2,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.040287065731528404,0.040287065731528404,0.040287065731528404,0.16229000163105534,0.040287065731528404,0.16229000163105534,-0.0016310552927744082,-0.0016310552927744082,0.16229000163105534,-0.06246941771326053,-0.10944381014516391,0.16229000163105534,-0.04240743761213506,-0.10944381014516391,0.16229000163105534,0.16229000163105534,-0.10944381014516391,TOP,HC_2021-04-30_TOP,TOP10,-0.1
2021-05-06,HC,5802.0,5957.0,5795.0,5935.0,5897.0,625936,,710043,-13552.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6378.0,0.043424753867791877,0.040287065731528404,none,True,HC2105,5968.0,HC2110,5935.0,33.0,-0.005529490616621984,0.005529490616621984,0.040287065731528404,117.64285714285714,0.35589045798375407,0.25321721302175476,0.22947630163657082,0.2147962524847612,0.8068106152477588,0.7177485221821623,-0.2277265113711648,0.23173030780869314,-0.3504859382204436,0.5855347017230309,-0.17651789410494537,1.211768225881972,-0.015737710560928188,-0.02331317721811785,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17461702684162525,0.1994786994155339,0.20514422411151217,0.22583555371423336,0.2465374561094633,0.12800017140046896,0.20829700706945248,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22925067235357133,710043,-13552.0,-0.018728708739004563,0.972,PRICE_UP_OI_DOWN,0.8815466105573888,,,,,,,missing_spot_benchmark,,missing_holdings,6213.6,0.007071683273902796,0.03203883495145621,6107.5,0.006268258498117163,0.09719594013418198,5972.1,0.0037668253237115755,0.07973590655154905,5495.383333333333,0.004417262351285522,0.34528580468255643,0.012104858313568945,1.0,1.0,1.0,1.0,1.0234013450568664,R/S,1.000019630119571,Katz,1.6568746142766289,black,0.2,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.010034493571652536,0.010034493571652536,0.010034493571652536,0.07886484791470671,0.010034493571652536,0.11727814361868916,-0.05957980558168707,-0.05957980558168707,0.11727814361868916,-0.06977108811539667,-0.14393226716839136,0.11727814361868916,-0.08105989338350583,-0.14393226716839136,0.11727814361868916,0.11727814361868916,-0.14393226716839136,TOP,HC_2021-05-06_TOP,TOP10,-0.1
2021-05-07,HC,5950.0,6024.0,5938.0,5999.0,5977.0,630980,,722422,12379.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6442.0,0.010783487784330248,0.010034493571652536,none,True,HC2105,6002.0,HC2110,5999.0,3.0,-0.0004998333888703765,0.0004998333888703765,0.010034493571652536,119.0,0.3544664387420438,0.2532087344032584,0.23030106437306364,0.21267793609881888,0.7068657730936317,0.5520799779758055,-0.28608503556725584,0.364894391025801,-0.35970978093991046,0.5780832547303996,-0.19186049768359192,1.2459605277911665,-0.015737710560928188,-0.02331317721811785,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17461702684162525,0.20182654778651105,0.20514422411151217,0.22583555371423336,0.2465374561094633,0.12824130639239384,0.20859419704861187,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22901597115449518,722422,12379.0,0.017434155396222506,0.98,PRICE_UP_OI_UP,0.8734230131419032,,,,,,,missing_spot_benchmark,,missing_holdings,6263.0,0.00649521925486316,0.039870863599677175,6164.5,0.006973542841794256,0.0970708446866484,5998.35,0.003763874616776075,0.08872739563968235,5524.533333333334,0.004602241864599321,0.3726827189431068,0.017689014689756588,1.0,1.0,1.0,1.0,1.0209823447142714,R/S,1.0000195521310136,Katz,1.6666817688946547,black,0.2,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.05215771499534316,0.05215771499534316,0.05215771499534316,0.021111456069543566,0.021111456069543566,0.10617820552623414,-0.07854703508227256,-0.07854703508227256,0.10617820552623414,-0.08770568146538338,-0.15243713132567527,0.10617820552623414,-0.07839180378764354,-0.15243713132567527,0.10617820552623414,0.10617820552623414,-0.15243713132567527,TOP,HC_2021-05-07_TOP,TOP10,-0.1
2021-05-10,HC,6031.0,6335.0,5991.0,6335.0,6119.0,604780,,704714,-17708.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6778.0,0.056009334889148166,0.05215771499534316,none,True,HC2105,6341.0,HC2110,6335.0,6.0,-0.0009462229932187353,0.0009462229932187353,0.05215771499534316,137.28571428571428,0.42381249697289025,0.3318561513478184,0.2818914317883544,0.23156047468566154,0.9830465325463777,1.0356600168183128,0.15675172622894396,1.244967463209666,-0.055511048414687285,1.088840052818358,0.09006037092273986,1.9871774255317485,-0.015737710560928188,-0.02331317721811785,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17610955048815813,0.2295587779102201,0.20514422411151217,0.2267088996649964,0.2465374561094633,0.1283870785753811,0.2096211884963946,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22901597115449518,704714,-17708.0,-0.024511988837549237,0.964,PRICE_UP_OI_DOWN,0.8581921176534026,,,,,,,missing_spot_benchmark,,missing_holdings,6391.8,0.009313292071912782,0.10498858819693502,6249.6,0.008873514814257799,0.1435802260840222,6043.35,0.004578460080228819,0.15311330384484512,5559.866666666667,0.005053308377206323,0.455130957492486,0.06671026223572374,1.0,1.0,1.0,1.0,1.0252400265267416,R/S,1.0000212849581476,Katz,1.8302454145000642,black,0.2,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.03024491000295071,0.03024491000295071,0.03024491000295071,-0.05694895249336085,-0.05694895249336085,0.051342578931838245,-0.1503393331366185,-0.1503393331366185,0.051342578931838245,-0.15978164650339333,-0.19445264089701975,0.051342578931838245,-0.10784892298613158,-0.19445264089701975,0.051342578931838245,0.051342578931838245,-0.19445264089701975,TOP,HC_2021-05-10_TOP,TOP10,-0.1
2021-05-11,HC,6460.0,6591.0,6315.0,6540.0,6455.0,1720148,,690412,-14302.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,6983.0,0.03235990528808208,0.03024491000295071,none,True,HC2105,6560.0,HC2110,6540.0,20.0,-0.003048780487804878,0.003048780487804878,0.03024491000295071,149.0,0.42606378510432974,0.34156670915039616,0.2882927989589054,0.23666745246037668,0.7249921345926253,0.3603352054844776,0.13468702628439785,0.9797921157861545,-0.06620793375984939,1.0338506447358409,0.1036185594197886,1.9031516861351243,-0.015737710560928188,-0.02331317721811785,,,insufficient_sample,0.0,-0.08646719736480923,0,,missing_turnover,0.16886653641519317,0.17610955048815813,0.23546010111459278,0.20514422411151217,0.22760145350215294,0.2465374561094633,0.12919752972368068,0.21071031204556107,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22901597115449518,690412,-14302.0,-0.020294757873406843,0.96,PRICE_UP_OI_DOWN,2.491480449354878,,,,,,,missing_spot_benchmark,,missing_holdings,6542.4,0.012608865202131803,0.12086677367576248,6348.4,0.01078774798705071,0.16480400333611334,6100.45,0.005648165315444409,0.19551446670090744,5598.15,0.005607093340352387,0.49018352539479304,0.07198815700053562,1.0,1.0,1.0,1.0,1.0004728312193882,R/S,1.0000218632535443,Katz,1.8002635371911233,black,0.6,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,0.020478304453673157,0.020478304453673157,0.020478304453673157,-0.08019475869969928,-0.08463411141343258,0.020478304453673157,-0.18029500214807392,-0.18029500214807392,0.020478304453673157,-0.17929256766432766,-0.21810110267793215,0.020478304453673157,-0.11055420306458541,-0.21810110267793215,0.020478304453673157,0.020478304453673157,-0.21810110267793215,TOP,HC_2021-05-11_TOP,TOP10,-0.1
2021-05-12,HC,6550.0,6727.0,6473.0,6683.0,6605.0,1271841,,751872,61460.0,SINA_PUBLIC_API,4,False,complete,HC2110,HC2110,False,HC2110,,forward_additive,443.0,7126.0,0.02186544342507646,0.020478304453673157,none,True,HC2105,6680.0,HC2110,6683.0,-3.0,0.0004491017964071856,-0.0004491017964071856,0.020478304453673157,161.07142857142858,0.26133714217931564,0.3382173787719158,0.2858167369013848,0.23817466219089387,0.5501874060074478,0.24515836498778684,0.1127322531654659,0.8831864099379556,-0.08312412913774501,0.9667337184979135,0.09026351335628797,1.8574042546598097,-0.015737710560928188,-0.02331317721811785,,,insufficient_sample,0.0,-0.08541134891026902,0,,missing_turnover,0.16886653641519317,0.1795338972535251,0.28228396229965746,0.20514422411151217,0.2277862187981256,0.2465374561094633,0.13005777214790737,0.2109638491337978,0.23876868244179453,0.12275852837257223,0.16450919650837592,0.22925067235357133,751872,61460.0,0.08901931020897669,0.996,PRICE_UP_OI_UP,1.6915658516343208,,,,,,,missing_spot_benchmark,,missing_holdings,6741.4,0.018380304502753474,0.16229000163105534,6457.7,0.013442406213848956,0.18117023039946956,6166.2,0.007317749703709309,0.226294957838582,5637.95,0.006212395530440151,0.5040101308569016,0.10571626217140984,1.0,1.0,1.0,1.0,0.9968172355273262,R/S,1.000021996661109,Katz,1.0972499751877778,black,0.6,1.0,1.0,,HEALTHY_TREND,HEALTHY_TREND,UNCHANGED,-0.03438113948919452,-0.03438113948919452,-0.03438113948919452,-0.14103283749649176,-0.14103283749649176,-0.03438113948919452,-0.23379174852652262,-0.23379174852652262,-0.03438113948919452,-0.18481616615211904,-0.23379174852652262,-0.03438113948919452,-0.1309289924221162,-0.23379174852652262,-0.03438113948919452,-0.03438113948919452,-0.23379174852652262,TOP,HC_2021-05-12_TOP,TOP10,-0.1
